City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Marmande,FR,44.5,0.1667,84.51,51,0,10.74,clear sky
328,Kirakira,SB,-10.4544,161.9205,78.93,77,99,8.52,overcast clouds
329,Changli,CN,39.7042,119.1506,77.18,74,0,3.74,clear sky
330,Parakou,BJ,9.3372,2.6303,74.93,90,33,6.98,scattered clouds
331,Pokhara,NP,28.2333,83.9833,74.26,89,100,2.55,moderate rain
332,Kokoda,PG,-8.8785,147.7407,68.65,87,96,3.11,overcast clouds
333,Emden,DE,53.3667,7.2167,67.01,84,22,8.46,few clouds
334,Port-Gentil,GA,-0.7193,8.7815,71.56,100,100,16.11,drizzle rain
335,Nortelandia,BR,-14.4547,-56.8028,96.15,23,6,3.27,clear sky
336,Belaya Gora,RU,68.5333,146.4167,42.8,93,100,11.27,moderate rain
337,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,72,40,10.33,scattered clouds
338,Havelock,US,34.8791,-76.9013,90.95,79,70,7.0,broken clouds
339,Morondava,MG,-20.2833,44.2833,70.39,78,5,13.67,clear sky
340,Qianan,CN,44.9932,124.0581,66.65,69,6,6.26,clear sky
341,Sistranda,NO,63.7256,8.834,53.56,85,100,27.16,overcast clouds
342,Nouadhibou,MR,20.931,-17.0347,67.48,92,9,21.27,clear sky
343,Bijar,IR,35.8668,47.6051,69.69,40,0,12.91,clear sky
344,Baruun-Urt,MN,46.6806,113.2792,57.65,61,1,7.63,clear sky
345,George,ZA,-33.963,22.4617,53.15,100,100,3.44,overcast clouds
346,Bombay,IN,19.0144,72.8479,82.38,94,100,12.66,moderate rain
